Feature,Category
Lexical Sophistication Feature: Familiarity (LW Token),Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD Adj Type),Lexical
Number of Syntactic Functions: Null Subject,Count
Syntactic Complexity Feature: Coordinate Phrases per T-unit,Syntactic
SD Local Edit Distance for POS,Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (FW Type),Lexical
Morphological Complexity Inflection Feature: Accusative Case per Token,Morphological
Lexical Variation Feature: Verb,Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (V Type),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (FW Type),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (AW Token),Lexical
Number of POS Feature: Punctuation Types,Count
Syntactic Complexity Feature: Dependent clauses per T-unit,Syntactic
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (N Type),Lexical
Syntactic Complexity Feature: Prenominal Modifier per Complex Noun Phrase,Syntactic
Syntactic Complexity Feature: Dependent clause ratio,Syntactic
Number of Syntactic Constituents: Relative Clauses,Count
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (SD N Type),Lexical
Syntactic Complexity Feature: Dependent clauses per Sentence,Syntactic
Number of Morphological Features: Imperfect Verbs,Count
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (SD FW Type),Lexical
Lexical Richness: Type Token Ratio (STTR Adverbs),Lexical
Lexical Richness: Type Token Ratio (Log10 TTR),Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (Adj Type),Lexical
Lexical Sophistication Feature: SUBTLEX Frequency Band 6,Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (Adj Token),Lexical
Number of POS Feature: Adjective and Adverb Tokens,Count
Syntactic Complexity Feature: Mean Length of Prepositional Phrase,Syntactic
SD Local Edit Distance for Lemmas,Lexical
POS Density Feature: Article,Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD LW Token),Lexical
Syntactic Complexity Feature: Relative Clauses per Clause,Syntactic
Syntactic Complexity Feature: Inverse Order (VS) per Sentence,Syntactic
Lexical Sophistication Feature: SUBTLEX Frequency Top 4000,Lexical
Lexical Variation Feature: Lexical,Lexical
Lexical Sophistication Feature: Portuguese Vocabulary Profile B2,Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD LW Type),Lexical
Number of Syntactic Constituents: Clauses,Count
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (FW Type),Lexical
Lexical Richness: Type Token Ratio (TTR Lexical Words),Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (Adv Token),Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (Adv Token),Lexical
Syntactic Complexity Feature: Verb Cluster per Clause,Syntactic
POS Density Feature: Adjective,Lexical
Referential Cohesion: Global Argument Overlap (lemma-based),Discourse
Number of Connectives: Mendes Single-Word Connectives,Count
Morphological Complexity Inflection Feature: Nominative Case per Token,Morphological
Syntactic Complexity Feature: Subordinate Clauses per Sentence,Syntactic
Lexical Sophistication Feature: Familiarity (AW Token),Lexical
Syntactic Complexity Feature: Verb Phrases per Sentence,Syntactic
Lexical Density Feature: Lexical Words per Word,Lexical
Lexical Sophistication Feature: SUBTLEX Frequency Top 6000 and Below,Lexical
Syntactic Complexity: Clitics per VP,Syntactic
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD N Type),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (SD LW Type),Lexical
Lexical Richness: Type Token Ratio (Log10 TTR Words),Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (SD FW Token),Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (SD Adv Token),Lexical
Syntactic Complexity Feature: Complex T-unit per Sentence,Syntactic
POS Density Feature: Lexical Words,Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD Adv Type),Lexical
POS Density Feature: Determiner,Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD N Token),Lexical
Referential Cohesion: Mean Global Argument Overlap (lemma-based),Discourse
Number of Syntactic Constituents: Adjectival Clause,Count
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD N Type),Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (N Type),Lexical
Lexical Richness: MTLD (excluding punctuation and numbers),Lexical
Mean Local Edit Distance for tokens,Lexical
Lexical Variation Feature: Noun,Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (Adj Type),Lexical
Lexical Sophistication Feature: SUBTLEX Frequency Top 3000,Lexical
Lexical Sophistication Feature: SUBTLEX Frequency Band 3,Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (FW Token),Lexical
Cohesive Complexity Feature: Mendes Single-Word Connectives per Token,Discourse
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (SD N Token),Lexical
Lexical Variation Feature: Corrected Verb Variation 1,Lexical
Referential Cohesion: Mean Global Noun Overlap (lemma-based),Discourse
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (SD Adj Token),Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD FW Token),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD V Type),Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (LW Type),Lexical
Number of Connectives: Mendes All Connectives,Count
SD Sentence Length in Syllables,Discourse
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (SD V Type),Lexical
Morphological Complexity Inflection Feature: Masculine inflection per word token,Morphological
Referential Cohesion: Mean Global Noun Overlap (word form-based),Discourse
Lexical Sophistication Feature: SUBTLEX Frequency Band 4,Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD N Token),Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD V Type),Lexical
Morphological Complexity Inflection Feature: Preterite Verb per Verb Token,Morphological
Syntactic Complexity Feature: Verb Cluster per Sentence,Syntactic
Syntactic Complexity Feature: Verb Phrases per Clause,Syntactic
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD FW Type),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD V Token),Lexical
Mean Local Edit Distance for Lemmas,Lexical
Morphological Complexity Inflection Feature: Infinite Verb Density,Morphological
Referential Cohesion: SD of Global Noun Overlap (word form-based),Discourse
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (AW Token),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (Adj Type),Lexical
Number of POS Feature: Verb Lemma Types,Count
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (N Token),Lexical
